№, id,название,цена со скидкой,бренд,продаж,рейтинг,в наличии,Поверхность экрана,Процессор
1, 102656132,"Ноутбук HeroBook Pro; 14.1"" 1920*1080; N4020; 8G; 256GB",22760.0,CHUWI,18,5.0,25,NaN,Intel Celeron N N4020
2, 138864375,Ноутбук 82HL005TRK(Cel 15;6 1Тб 4Гб UMA noOS),21789.0,lenovo,41,4.0,122,NaN,Intel Celeron
3, 149763680,Ноутбук EX215-22-R5D4 15.6 Ryzen 3 8Gb (NX.EG9ER.02M),30769.0,Acer,33,4.0,98,матовая,AMD Ryzen 3 3250U
4, 152300264,"Ноутбук Sprint M i3 1115G4 8Gb SSD256Gb 15.6"" W11Pro",35991.0,DIGMA,31,5.0,93,матовая,Core i3 1115G4
5, 177648109,Inbook Y1 PLUS 10TH XL28,35901.0,Infinix,14,0.0,93,NaN,Core-i5 1035G1
6, 172232336,MacBook Air 13 M2 8 256 (Space Grey),113752.0,Apple,28,5.0,162,NaN,Apple M2
7, 190737224,Ноутбук Vivobook 16 M1605YA-MB002 Ryzen 5 8 512 NoOS,50508.0,ASUS,45,0.0,170,матовая,Ryzen 5 7530U
8, 172229456,MacBook Air 13 M2 8 512 (Space Grey),149392.0,Apple,25,5.0,104,NaN,Apple M2
9, 177641590,Inbook Y1 PLUS NEO XL30,27909.0,Infinix,15,5.0,93,NaN,Intel Celeron N5100
10, 192885970,Ноутбук IdeaPad 1 N4020 4 128 Win11,29700.0,Lenovo,50,0.0,224,антибликовая,Intel Celeron N4020
11, 149541825,Ноутбук A315-35 15.6 Intel Pentium 4Gb (NX.A6LER.002),25974.0,Acer,34,5.0,98,матовая,Intel Pentium Silver N6000 Processor
12, 190204836,"Ультрабук 14.1"" IPS 6 Гб SSD 512 GB Российская клавиатура",18900.0,FLASHBOOK,55,0.0,120,глянцевая,Intel Celeron N4000
13, 168445058,"Ноутбук 15.6"" IPS 4-Ядра RAM 16GB SSD 512GB (M.2)",32837.0,DeltaTech,63,4.0,106,NaN,Intel Celeron N5095
